Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q,Tair_gap,Q_gap,segment_id
-999,-999,-999,6.565923309326024,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.273225402831997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.296440378825025,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.813848114014036,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.889002736410021,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.3784754435220066,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.10526428222704,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.220257059733001,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.824952697754042,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.223516082764036,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.824892934163016,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.196223195393998,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.466050720215037,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.196920013428041,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.14350280761704,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.229330952962016,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.491343434652038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.6460268656410335,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.229608154297011,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.044899241129997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.70580571492502,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.48915506998702,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.108792877197004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.005499776205,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.315473175049021,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.659206644693995,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.780259704590037,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.154936726888025,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.723514811198015,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.775771077474019,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.227081553141034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.564480082193995,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.850724792480037,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.329145050049021,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.789631144205998,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.35672912597704,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.782886759440032,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.930534617106048,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.045379892985011,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.006261444092047,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.2427167256670373,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.788966115316043,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.94733327229801,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.798862711589038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.3860870361330058,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.277247365316043,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.188919321696005,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.301474507650028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.899889882406001,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.1509490966799945,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.235626475016034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.354353841146008,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
