DateTime,Air Temperature (1.5m)
2020-07-26,3.6417025
2020-07-27,4.4776762
2020-07-28,3.0307129
2020-07-29,4.8894517
2020-07-30,5.985499
2020-07-31,4.5471445
2020-08-01,5.0944857
2020-08-02,7.158652
2020-08-03,8.020491
2020-08-04,6.921811
2020-08-05,4.770823
2020-08-06,5.0236825
2020-08-07,7.023606
2020-08-08,7.4963711
2020-08-09,3.44541971
2020-08-10,4.3896663
2020-08-11,6.1532414
2020-08-12,7.135472256
2020-08-13,6.0629518
2020-08-14,3.818149
2020-08-15,3.41066464
2020-08-16,0.5303256
2020-08-17,0.98339
2020-08-18,2.007411
2020-08-19,5.371046
2020-08-20,10.79509
2020-08-21,9.7424869
2020-08-22,7.986633403
2020-08-23,7.93030948
2020-08-24,10.1117588
2020-08-25,7.600149
2020-08-26,5.906995
2020-08-27,4.036728
2020-08-28,4.0917866
2020-08-29,4.5978383
2020-08-30,8.3324221
2020-08-31,8.9055417
2020-09-01,7.72056543
2020-09-02,8.122539
2020-09-03,5.288394
2020-09-04,2.1635224
2020-09-05,4.111659
2020-09-06,6.3729415
2020-09-07,9.2223835
2020-09-08,5.723885
2020-09-09,3.66187269
2020-09-10,5.1562832
2020-09-11,6.996226
2020-09-12,3.1013713
2020-09-13,2.7538303
2020-09-14,6.6418333
2020-09-15,8.091444
2020-09-16,8.48728
2020-09-17,6.755452
2020-09-18,7.59671
2020-09-19,6.9858783
2020-09-20,6.5557859
2020-09-21,5.816129
2020-09-22,7.276007
2020-09-23,8.726014
2020-09-24,10.716192
2020-09-25,10.731012
2020-09-26,9.3397936
2020-09-27,11.5384054
2020-09-28,12.033517
2020-09-29,6.419266
2020-09-30,3.704013
2020-10-01,4.5743449
2020-10-02,5.624969
2020-10-03,6.821933
2020-10-04,8.4553672
2020-10-05,11.2633626
2020-10-06,12.5086931
2020-10-07,11.0218596
2020-10-08,9.1402514
2020-10-09,6.1340228
2020-10-10,6.561571
2020-10-11,8.9391908
2020-10-12,10.4184948
2020-10-13,11.9490989
2020-10-14,11.052546
2020-10-15,8.403716
2020-10-16,4.6261725
2020-10-17,4.7428665
2020-10-18,6.1132983
2020-10-19,9.375485
2020-10-20,12.6168748
2020-10-21,12.1192185
2020-10-22,11.0687805
2020-10-23,12.4683071
2020-10-24,13.36431
2020-10-25,13.717876
2020-10-26,14.337982
2020-10-27,13.85981
2020-10-28,10.87733
2020-10-29,9.8551053
2020-10-30,11.7600191
2020-10-31,13.79163231
2020-11-01,14.594103
2020-11-02,12.595115
2020-11-03,12.0712943
2020-11-04,14.656206
2020-11-05,16.117867
2020-11-06,15.79915937
2020-11-07,13.7113483
2020-11-08,14.43127295
2020-11-09,12.3282491
2020-11-10,7.1594095
2020-11-11,8.690429
2020-11-12,8.9841293
2020-11-13,10.5436325
2020-11-14,12.0825487
2020-11-15,11.1159686
2020-11-16,12.0947427
2020-11-17,12.219118
2020-11-18,12.770326
2020-11-19,11.140012
2020-11-20,8.1246823
2020-11-21,8.5721876
2020-11-22,11.3009984
2020-11-23,8.6113857
2020-11-24,7.357529
2020-11-25,9.9991752
2020-11-26,12.0479706
2020-11-27,14.889002
2020-11-28,13.174118
2020-11-29,8.831786
2020-11-30,10.5490508
2020-12-01,12.7276136
2020-12-02,8.556098
2020-12-03,10.6512985
2020-12-04,11.711743
2020-12-05,10.437372
2020-12-06,10.7286695
2020-12-07,11.7836229
2020-12-08,15.3745743
2020-12-09,16.826057
2020-12-10,17.3439357
2020-12-11,15.4915317
2020-12-12,10.487126
2020-12-13,9.456425
2020-12-14,11.150763
2020-12-15,11.448529
2020-12-16,13.8371
2020-12-17,14.905602
2020-12-18,14.59182
2020-12-19,16.83136
2020-12-20,15.540906
2020-12-21,15.22164288
2020-12-22,16.199108
2020-12-23,16.81689
2020-12-24,15.691684
2020-12-25,14.29757706
2020-12-26,13.1592442
2020-12-27,10.868264
2020-12-28,6.311741
2020-12-29,7.13581243
2020-12-30,8.4673766
2020-12-31,12.5773388
2021-01-01,12.97581
2021-01-02,15.5855975
2021-01-03,15.02725533
2021-01-04,15.029666
2021-01-05,15.81354097
2021-01-06,16.25441
2021-01-07,15.794156
2021-01-08,14.966218
2021-01-09,16.0885017
2021-01-10,14.8660014
2021-01-11,14.933353
2021-01-12,15.362172
2021-01-13,16.692358
2021-01-14,17.292255
2021-01-15,16.765165
2021-01-16,16.944497
2021-01-17,17.240515
2021-01-18,15.7504152
2021-01-19,12.1781451
2021-01-20,14.6451489
2021-01-21,9.1776632
2021-01-22,9.33064
2021-01-23,11.7758186
2021-01-24,12.882342
2021-01-25,14.922325
2021-01-26,14.535179
2021-01-27,18.002559
2021-01-28,19.588135
2021-01-29,14.507566
2021-01-30,9.2130933
2021-01-31,8.5557969
2021-02-01,11.8543327
2021-02-02,13.7274535
2021-02-03,13.6046682
2021-02-04,14.9549247
2021-02-05,12.0808752
2021-02-06,10.062086
2021-02-07,12.455085
2021-02-08,14.7746466
2021-02-09,16.19223
2021-02-10,15.68929647
2021-02-11,15.1455254
2021-02-12,13.6886133
2021-02-13,13.70341
2021-02-14,15.6863749
2021-02-15,15.7621473
2021-02-16,15.79711
2021-02-17,13.8319386
2021-02-18,10.3162409
2021-02-19,10.7945872
2021-02-20,12.923173
2021-02-21,15.45340206
2021-02-22,16.982343
2021-02-23,17.2636
2021-02-24,16.849598
2021-02-25,16.873804
2021-02-26,16.074067
2021-02-27,16.2166
2021-02-28,16.3178386
2021-03-01,16.53302
2021-03-02,16.444205
2021-03-03,16.179669
2021-03-04,16.62936
2021-03-05,14.2830649482
2021-03-06,14.311688
2021-03-07,13.7486705
2021-03-08,10.805522
2021-03-09,11.176572
2021-03-10,12.0188072
2021-03-11,12.959288
2021-03-12,11.7056155
2021-03-13,9.9281646
2021-03-14,9.15793
2021-03-15,12.287669
2021-03-16,14.50836131
2021-03-17,13.17747
2021-03-18,10.4800152
2021-03-19,9.0387884
2021-03-20,10.425392
2021-03-21,8.499526
2021-03-22,9.2074762
2021-03-23,8.6028182
2021-03-24,10.0171508
2021-03-25,11.7972304
2021-03-26,11.562376
2021-03-27,12.65052
2021-03-28,13.5577797
2021-03-29,15.1477871
2021-03-30,15.7313253
2021-03-31,16.5514538
2021-04-01,16.341312
2021-04-02,11.904379
2021-04-03,9.0258366
2021-04-04,7.911358
2021-04-05,10.153416
2021-04-06,13.27126
2021-04-07,13.683716
2021-04-08,11.1467336
2021-04-09,12.73979
2021-04-10,13.631817
2021-04-11,15.04681
2021-04-12,15.867684
2021-04-13,14.83533641
2021-04-14,13.2469825
2021-04-15,9.344452
2021-04-16,9.38264
2021-04-17,12.3158076
2021-04-18,8.386195
2021-04-19,7.94479451
